username, created_at, lng, lat, text
idkefrain, Fri Apr 24 02:00:58 +0000 2020, -73.948775, 40.655138, 49ers do not need more linemen they need a wideout, why did they just do that
SDavidsonWKTV, Fri Apr 24 02:00:59 +0000 2020, -75.770041, 42.746617, @JasonPowles @BillKardas My terrible hiding spot exposed.
NicholasCrimi, Fri Apr 24 02:01:00 +0000 2020, -74.153947, 40.572376, 🔥🔥🔥🔥
hftjobs, Fri Apr 24 02:01:00 +0000 2020, -77.590404, 43.198234, This job might be a great fit for you: Retail Stocking Supervisor - https://t.co/ggql0GhCBS #Sales #Rochester, NY
allyzielinski, Fri Apr 24 02:01:00 +0000 2020, -75.770041, 42.746617, 5. there hasn’t been an artist that i’ve listened to consistently growing up and now into being an adult :/
ingridphilipp, Fri Apr 24 02:01:01 +0000 2020, -79.272570, 43.629311, Shouldn’t we wait till he drinks some bleach?
amerkshockey19, Fri Apr 24 02:01:01 +0000 2020, -77.712567, 43.162659, Bucs keep stackin and stackin man shits crazy I can’t wait to see Wirfs this upcoming season
yeralizard, Fri Apr 24 02:01:01 +0000 2020, -73.660905, 43.333512, @breethemidwife @NerdyNurse41 I wondered that too! I never noticed  before.
511NY, Fri Apr 24 02:01:02 +0000 2020, -78.791309, 42.820614, Construction on #I90NYSThruway EB from After Exit 55 (I-90) - Orchard Pk (US 219) to Before Exit 50 (I-90) - Willia… https://t.co/oWGdsrgsIs
SiiireYKMG, Fri Apr 24 02:01:02 +0000 2020, -77.904653, 40.802836, @Cyht_ Thank you 😂😂😂 but right now we come at other Philly niggas because we about to be oss this year . What’s up with your Pats tho ?!👀
LivvBrokaw, Fri Apr 24 02:00:57 +0000 2020, -74.366409, 40.639702, @_coach_chris I must try this. Never heard of it. Think I can find it in jersey
badgalcharlee, Fri Apr 24 02:01:02 +0000 2020, -73.831187, 40.670879, I be talking shit but I wanna feel real love one day
mwolfers, Fri Apr 24 02:01:03 +0000 2020, -78.747369, 42.767702, @ashleyn1cole Yes
BWDaugherty, Fri Apr 24 02:01:03 +0000 2020, -71.566171, 44.001230, @RemindMe_OfThis in 19 days.
gtbouts, Fri Apr 24 02:01:03 +0000 2020, -73.704938, 40.662135, It's time we just accept the fact that @realDonaldTrump sounds fucking crazy because he is FUCKING CRAZY
JanelleMeg, Fri Apr 24 02:01:04 +0000 2020, -73.948775, 40.655138, What's up with European boys and these emojis 👏🙌? They use it every 5 seconds
90s_nathan, Fri Apr 24 02:01:04 +0000 2020, -79.272570, 43.629311, Yesssssir 🔥
dave_smoove_, Fri Apr 24 02:01:04 +0000 2020, -73.964812, 41.198171, @ismaelauguste Heavy on that, no cap but the bond sheff and sleepy got remind me a lot like the bond BIG and Puff had
SherryAske, Fri Apr 24 02:01:04 +0000 2020, -75.800141, 45.248791, COVID-500 https://t.co/Z4SqGF1x9O
PadillasSteven, Fri Apr 24 02:01:04 +0000 2020, -77.604684, 41.117936, Falcons trading back. Holy fuck. Extra picks baby.
gabiipdo, Fri Apr 24 02:01:04 +0000 2020, -73.412972, 41.568145, @josembarretx Meu sonho se caso ele ganhe msm alguma delas falar. Uma palhaçada isso
511nyWNY, Fri Apr 24 02:01:04 +0000 2020, -78.791309, 42.820614, Construction on #I90NYSThruway EB from After Exit 55 (I-90) - Orchard Pk (US 219) to Before Exit 50 (I-90) - Willia… https://t.co/ElsFbcqHVD
FrenchGold, Fri Apr 24 02:01:05 +0000 2020, -73.948775, 40.655138, @slaylewisss ❤️ https://t.co/JnKvux0ND7
ATxFellow, Fri Apr 24 02:01:05 +0000 2020, -74.522323, 40.895556, @AnnaDsays I’m sending a prepaid mailer.
JHRinfrette, Fri Apr 24 02:01:05 +0000 2020, -78.653132, 41.970092, @ZigFracassi I like this draft format better
neondemon182, Fri Apr 24 02:01:05 +0000 2020, -77.604684, 41.117936, https://t.co/G6pw0Y73iP
Quaddyy_, Fri Apr 24 02:01:06 +0000 2020, -74.245455, 40.624274, Bruh what
Jsheehan83, Fri Apr 24 02:01:06 +0000 2020, -73.831187, 40.670879, #13 pick Tristan Wirfs is a great pick for the @Buccaneers and Tom Brady. You have to love a Iowa player who won a… https://t.co/pSybYAN8SJ
Nugraha14582568, Fri Apr 24 02:01:06 +0000 2020, -73.948775, 40.655138, @Ky46W1 @KompasTV Makanya cari kerjaan yg boss nya merangkap jadi menteri 😄😄😄
Tha_Randy_Man_, Fri Apr 24 02:01:06 +0000 2020, -74.153947, 40.572376, @kylegriffin1 Left off for roomYour Dog 17%Las Vegas mayor 1%
natasha4ett1, Fri Apr 24 02:01:06 +0000 2020, -79.272570, 43.629311, @DrEizadirad @etfopresident @ETFOeducators One love 💕 Ardavan . Truly deserving. Can’t wait to see where you soar
cpudimott, Fri Apr 24 02:01:07 +0000 2020, -74.632836, 40.501577, Joe Bros happy, I’m happy
irishrebelTFS, Fri Apr 24 02:01:07 +0000 2020, -80.181835, 38.920142, Did the @49ers lose one of its defenders?!  That great defense just got even better...yikes #NFLDraft #NFLDraft2020
JenniferJuneau1, Fri Apr 24 02:01:07 +0000 2020, -73.968542, 40.780709, Thank you ! UberChef USA now available on @SporkPress website @UberchefU #uberchefusa #novel #fiction #realitytv
yemeni19999, Fri Apr 24 02:01:08 +0000 2020, -73.831187, 40.670879, @mhrazzz6 @qussai_lt يمنيه انا متاكد عدنيه او تعزيه
ricnun1819, Fri Apr 24 02:01:08 +0000 2020, -77.604684, 41.117936, Denver going WR
alexandro_papi, Fri Apr 24 02:01:08 +0000 2020, -73.849441, 40.850347, I forget how many hairstyles I be trying 😂 https://t.co/nNsvbd0mSY
socialistbaddie, Fri Apr 24 02:01:09 +0000 2020, -77.604684, 41.117936, @xmarcksthespot david duchovny , we stan only x files in this house
NasMcFly, Fri Apr 24 02:01:09 +0000 2020, -73.849441, 40.850347, “You ready to die for that pussy , I AM “
wrenandglory, Fri Apr 24 02:01:09 +0000 2020, -74.006400, 40.714200, look we’re outside! jk jk still in bed but remembering this shoot + outdoors + life #dropout @ New York, New York https://t.co/1xt5x6NtXx
NazirStreater, Fri Apr 24 02:01:10 +0000 2020, -79.151553, 40.621319, Wassup w Jerry Jeudy??
itsmarlamaples, Fri Apr 24 02:01:10 +0000 2020, -74.006400, 40.714200, Expand our knowledge... listen ... learn ....share... Everyday this is my passion 🤍💛💜 Thx for tuning in to mine &amp; D… https://t.co/CZZEaIechp
jeffreyerlbaum, Fri Apr 24 02:01:10 +0000 2020, -77.604684, 41.117936, Booger, the pick is in!
niceandcut3, Fri Apr 24 02:01:10 +0000 2020, -73.831187, 40.670879, I’m pretty sure I’m just an amplified caricature of everything I hate
_LinzieRae_, Fri Apr 24 02:01:10 +0000 2020, -76.845282, 41.002348, Last night my friends and I were making DCP memes, and I have to say that I’m very proud of this one. https://t.co/y0x1IC4W8v
MikeVanriel2, Fri Apr 24 02:01:11 +0000 2020, -73.948775, 40.655138, Trump Claims Only Blue States Are Struggling With Coronavirus Fallout https://t.co/3A3pAOJ6TS via @politicususa
SuckMyLipStiick, Fri Apr 24 02:01:11 +0000 2020, -73.968542, 40.780709, Okay.. Now I’m crying.  #NFLDraft2020
_Hunter__Smith_, Fri Apr 24 02:01:11 +0000 2020, -74.118802, 40.936252, The Jets man🤣
pkrzy1853, Fri Apr 24 02:01:11 +0000 2020, -73.831187, 40.670879, Karambol??? 4 samochody?? 🤣🤣🤣🤣🤣🤣Dobre!!!🤣🤣🤣🤣😆😆😆
hiijennx, Fri Apr 24 02:01:11 +0000 2020, -78.748399, 42.907207, @StayshasWeird “This is going in my museum!!!!” Hahahahahah
buffyblueny, Fri Apr 24 02:01:11 +0000 2020, -74.153947, 40.572376, OMFG!!!
eaglesnest365, Fri Apr 24 02:01:12 +0000 2020, -77.604684, 41.117936, @eagleyez317 I have a feeling if denver doesn't go to denver he might slip to us
SunshineSucks, Fri Apr 24 02:01:13 +0000 2020, -79.272570, 43.629311, @isabeldc @derek_risk Yes but give him a few to adjust to the platform.
JoshLandesWAMC, Fri Apr 24 02:01:14 +0000 2020, -73.258713, 42.450811, Jesse rules. This is going to be great!
49ersCryssy, Fri Apr 24 02:01:14 +0000 2020, -79.272570, 43.629311, da fuq?
ItsM_E_Z, Fri Apr 24 02:01:15 +0000 2020, -74.420015, 40.676505, @baeleek Feel like we alll capable of deep conversations it’s just a matter if we wanna have a deep conversation with that person
SiiireYKMG, Fri Apr 24 02:01:15 +0000 2020, -77.904653, 40.802836, Kinlaw wow amazing story.
britshaniece, Fri Apr 24 02:01:15 +0000 2020, -73.968542, 40.780709, Damn. It’s really wicked out here smh.
dstarpro, Fri Apr 24 02:01:15 +0000 2020, -73.669450, 40.588623, Tom, I hate you so much for fucking with Darcy's head again like this. You've been cruel enough, why can't you just… https://t.co/iXCwCJYRmh
grammartable, Fri Apr 24 02:01:15 +0000 2020, -73.968542, 40.780709, @kocakwords @EllenJovin I know, and that seems crazy to me.
sexytmbackfrmdm, Fri Apr 24 02:01:16 +0000 2020, -78.948208, 43.748102, He wasn’t for me period
southboy_717, Fri Apr 24 02:01:16 +0000 2020, -77.604684, 41.117936, Felt This 🙏🏾
LeahSexii, Fri Apr 24 02:01:17 +0000 2020, -77.604684, 41.117936, @zo_studios If only
casey62975, Fri Apr 24 02:01:17 +0000 2020, -74.185292, 41.318312, @NJFinFan62 @Brady_216 Agreed..
ElaineRonson, Fri Apr 24 02:01:19 +0000 2020, -75.770041, 42.746617, @davidmweissman I can’t even begin to imagine your pain.
iris4justice, Fri Apr 24 02:01:19 +0000 2020, -73.831187, 40.670879, @senatemajldr The jobs are there BUT the unemployment. Insurance must be fixed.Sitting at home,doing NOTHING &amp; gett… https://t.co/zYi43egI0z
ErrrbearX, Fri Apr 24 02:01:19 +0000 2020, -79.761426, 40.494116, me and @baaaay24 got our 1st tattoos five years ago. lil baby us had no clue how many more we’d get together 🤪
Teamkiem, Fri Apr 24 02:01:19 +0000 2020, -73.948775, 40.655138, @DJSirDaniel @stevejohnsr https://t.co/btHmVhP2HI
joeycongi98, Fri Apr 24 02:01:19 +0000 2020, -79.565792, 43.837104, On the carpet, no less. Shm
HollerTV, Fri Apr 24 02:01:19 +0000 2020, -79.272570, 43.629311, Wowww
PoeBoyPelle, Fri Apr 24 02:01:19 +0000 2020, -74.012066, 40.888461, @TroyLLF yea that made no sense needed to replace sanders smh
AllKindsWeather, Fri Apr 24 02:01:19 +0000 2020, -74.294602, 40.846404, @jenafish17 Rounds 2 &amp; 3 are tomorrow night.
TheDonDrew, Fri Apr 24 02:01:19 +0000 2020, -74.162658, 40.792103, No. Sit tight. WR are falling. Don’t give up capital. We need all the players we can get. Quantity AND QUALITY
allyzielinski, Fri Apr 24 02:01:20 +0000 2020, -75.770041, 42.746617, 6. motionless in white
BDiddy_1, Fri Apr 24 02:01:21 +0000 2020, -73.831187, 40.670879, @AZCardinals Damn Kliff🥶🥶🥶🥶
SezginEminolu1, Fri Apr 24 02:01:21 +0000 2020, -79.430018, 42.847226, 1-#ermenisoykırımı osmanlı Türk tarihinde istenmeyen olaylara şahit olduk ve var olmak veya yok olmak mücadelesine… https://t.co/zEYPIOJXMa
fpiluso1, Fri Apr 24 02:01:21 +0000 2020, -77.604684, 41.117936, @mikeynelms @nick_kaiser1 @Eagles Hopefully I’m wrong! Usually when I say this stuff good things happen. So I’ll stick to it
caladoleo, Fri Apr 24 02:01:21 +0000 2020, -79.272570, 43.629311, @claytovarela RT AQUI @BBBelissima @whomath please
nicmontanino, Fri Apr 24 02:01:22 +0000 2020, -73.450516, 40.678643, I did it y’all I cut my hair. Go to snapchat to see final product
RealFrianBreind, Fri Apr 24 02:01:22 +0000 2020, -77.604684, 41.117936, Why is Goodell continuing to read from the card in his hand... my man you're getting all the info from the computer… https://t.co/6ackYIdQMJ
lovekjc_x, Fri Apr 24 02:01:23 +0000 2020, -73.948775, 40.655138, Napped for 2 hours then I’m going to question why I’m still up at 5am later 🤦🏻‍♀️
JACKYRITTLINGER, Fri Apr 24 02:01:22 +0000 2020, -72.683827, 41.864073, https://t.co/BX7Ed7NHIb
theone_desired, Fri Apr 24 02:01:23 +0000 2020, -80.181835, 38.920142, Did I use a blanket as a backdrop for these selfies? Yes. https://t.co/PpWjvY2jlf
younggrandma__, Fri Apr 24 02:01:23 +0000 2020, -73.849441, 40.850347, @astasiamyler in a tweet
gabiipdo, Fri Apr 24 02:01:24 +0000 2020, -73.412972, 41.568145, @nalonduda @leleeegomes Demais né
Slim_jimmy92, Fri Apr 24 02:01:24 +0000 2020, -73.831187, 40.670879, @BeniVeliu47 That would be fuckin legendary
KingBreezy_bish, Fri Apr 24 02:01:24 +0000 2020, -78.853563, 42.896230, I’d rather be solo than tryna make it happen with someone who ain’t on the same page as me.
helenfilipe, Fri Apr 24 02:01:24 +0000 2020, -79.662015, 43.548050, During these difficult days I want to support my students anyway I can. First week of "Mindful Leadership" Zoom cla… https://t.co/kuvGzT27P3
JamesAlba32, Fri Apr 24 02:01:24 +0000 2020, -73.254595, 40.728907, @Cav_Or_Nah_1994 JD making calls if one of these guys falls to 18-20 range?
MarkTical9140, Fri Apr 24 02:01:24 +0000 2020, -73.862078, 41.368479, 🤔🤔🤔 https://t.co/NLmRwRSsLO
_vishNchips_, Fri Apr 24 02:01:25 +0000 2020, -73.968542, 40.780709, I’m not mad...but definitely confused
itsmattiebitchz, Fri Apr 24 02:01:25 +0000 2020, -73.972455, 40.848333, I don’t .... think I do
TennysonTV, Fri Apr 24 02:01:25 +0000 2020, -74.091037, 40.821189, These draftees have some nice houses 👀 #NFLDraft
justrighthomes, Fri Apr 24 02:01:26 +0000 2020, -77.604684, 41.117936, Ex-Sanders campaign official Nina Turner: If Democrats want to defeat Trump they need more 'excitement' https://t.co/OTXZ9ESoFp
OSAMA__01, Fri Apr 24 02:01:26 +0000 2020, -74.724323, 40.073041, @FatomaM84532280 اللهم امين يارب
Christian_J_D_M, Fri Apr 24 02:01:26 +0000 2020, -73.254595, 40.728907, @TalkJetsRadio Great Pick! D’Brick 2.0!
emilyak, Fri Apr 24 02:01:27 +0000 2020, -73.948775, 40.655138, Iconic https://t.co/FHqqPxwgVn
Wine1011, Fri Apr 24 02:01:27 +0000 2020, -72.912647, 41.345603, Onward &amp; Upward“Onward means moving forward without looking back, and upward means having a goal of continued self… https://t.co/1bxl26dQrh
